FileName	ARTIST	TITLE	Release Year	Rolling Stone Rank	RS 5x20 subset	Lyric subset	YoutubeLink
ElvisPresley_MysteryTrain_1955	Elvis Presley	Mystery Train	1955	77	TRUE	TRUE	https://www.youtube.com/watch?v=XA5HErVE9oI
BobMarley_NoWomanNoCry_1975	Bob Marley & The Wailers	No Woman, No Cry	1975	37	TRUE	TRUE	https://www.youtube.com/watch?v=2JZetjkhdYQ
TheBeatles_NorwegianWood_1965	The Beatles	Norwegian Wood (This Bird Has Flown)	1965	83	FALSE	FALSE	https://www.youtube.com/watch?v=Y_V6y1ZCg_8
BuddyHolly_NotFadeAway_1957	Buddy Holly and the Crickets	Not Fade Away	1957	107	FALSE	FALSE	https://www.youtube.com/watch?v=STX44ukH7cE
SineadOConnor_NothingCompares2U_1990	Sinead O'Connor	Nothing Compares 2 U	1990	162	TRUE	TRUE	https://www.youtube.com/watch?v=0-EF60neguk
DrDre_NuthinButAGThang_1993	Dr. Dre	Nuthin' But a 'G' Thang	1993	419	TRUE	FALSE	https://www.youtube.com/watch?v=0F0CAEoF4XM
U2_One_1991	U2	One	1991	36	TRUE	TRUE	https://www.youtube.com/watch?v=Sgp5dlKx9rs
TheRollingStones_PaintItBlack_1966	The Rolling Stones	Paint It Black	1966	174	FALSE	FALSE	https://www.youtube.com/watch?v=flSmiIne-4k
TheTemptations_PapaWasARollinStone_1972	The Temptations	Papa Was A Rollin' Stone	1972	168	FALSE	FALSE	https://www.youtube.com/watch?v=nXiQtD5gcHU
JamesBrown_PapasGotABrandNewBag_1966	James Brown	Papa's Got a Brand New Bag	1966	72	FALSE	FALSE	https://www.youtube.com/watch?v=QE5D2hJhacU
Radiohead_ParanoidAndroid_1997	Radiohead	Paranoid Android	1997	256	TRUE	FALSE	https://www.youtube.com/watch?v=fHiGbolFFGw
TheImpressions_PeopleGetReady_1965	The Impressions	People Get Ready	1965	24	TRUE	TRUE	https://www.youtube.com/watch?v=l04yM7-BWbg
JamesBrown_PleasePleasePlease_1956	James Brown	Please, Please, Please	1956	142	FALSE	FALSE	https://www.youtube.com/watch?v=ON-iOsFK7co
CreedenceClearwaterRevival_ProudMary_1969	Creedence Clearwater Revival	Proud Mary	1969	155	FALSE	FALSE	https://www.youtube.com/watch?v=XfyEpmQM7bw
TheJimiHendrixExperience_PurpleHaze_1967	The Jimi Hendrix Experience	Purple Haze	1967	17	TRUE	TRUE	https://www.youtube.com/watch?v=zSsjtiky9xI
Prince_PurpleRain_1984	Prince	Purple Rain	1984	143	TRUE	TRUE	https://www.youtube.com/watch?v=TvnYmWpD_T8
BuddyHolly_RaveOn_1958	Buddy Holly and the Crickets	Rave On	1958	154	FALSE	FALSE	https://www.youtube.com/watch?v=KqefV-dapQc
BobMarley_RedemptionSong_1980	Bob Marley & The Wailers	Redemption Song	1980	66	TRUE	TRUE	https://www.youtube.com/watch?v=yv5xonFSC4c
ArethaFranklin_Respect_1967	Aretha Franklin	Respect	1967	5	TRUE	TRUE	https://www.youtube.com/watch?v=6FOUqQt3Kg0
JohnnyCash_RingOfFire_1963	Johnny Cash	Ring of Fire	1963	87	FALSE	FALSE	https://www.youtube.com/watch?v=EQ36XYh0tkk
IkeAndTinaTurner_RiverDeepMountainHigh_1966	Ike & Tina Turner	River Deep - Mountain High	1966	33	TRUE	TRUE	https://www.youtube.com/watch?v=uj0wPrN_Y_4
ChuckBerry_RockAndRollMusic_1957	Chuck Berry	Rock & Roll Music	1957	128	FALSE	FALSE	https://www.youtube.com/watch?v=pufTZyykLlw
TheB52s_RockLobster_1979	The B-52's	Rock Lobster	1979	146	FALSE	FALSE	https://www.youtube.com/watch?v=n4QSYx4wVQg
NeilYoung_RockinInTheFreeWorld_1989	Neil Young	Rockin' in the Free World	1989	214	TRUE	TRUE	https://www.youtube.com/watch?v=DvxxdZpMFHg
